id,key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common,scientificName,canonicalName,Status,Confidence,Match,Stamp
W11203,8084898,GENUS,Larsia,Larsia sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Larsia,NA,NA,"Larsia Fittkau, 1962",Larsia,ACCEPTED,95,EXACT,2019-11-01T16:05:11Z
W11211,3524,FAMILY,Sciomyzidae,Sciomyzidae sp.,Animalia,Arthropoda,Insecta,Diptera,Sciomyzidae,NA,NA,NA,Sciomyzidae,Sciomyzidae,ACCEPTED,96,EXACT,2019-11-01T16:13:01Z
W11239,1326011,GENUS,Iridomyrmex,Iridomyrmex sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Iridomyrmex,NA,NA,"Iridomyrmex Mayr, 1862",Iridomyrmex,ACCEPTED,96,EXACT,2019-11-01T16:04:56Z
W11247,1316244,GENUS,Notoncus,Notoncus sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Notoncus,NA,NA,"Notoncus Emery, 1895",Notoncus,ACCEPTED,96,EXACT,2019-11-01T16:08:52Z
W11255,1316784,GENUS,Tapinoma,Tapinoma sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tapinoma,NA,NA,"Tapinoma Foerster, 1850",Tapinoma,ACCEPTED,96,EXACT,2019-11-01T16:14:31Z
W11263,1327331,GENUS,Myrmecorhynchus,Myrmecorhynchus sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecorhynchus,NA,NA,"Myrmecorhynchus Andre, 1896",Myrmecorhynchus,ACCEPTED,96,EXACT,2019-11-01T16:08:01Z
W15003,2446224,SPECIES,Gehyra variegata,Gehyra variegata complex,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra variegata,NA,"Gehyra variegata (Duméril & Bibron, 1836)",Gehyra variegata,ACCEPTED,100,HIGHERRANK,2019-11-01T16:03:26Z
W15011,2376812,GENUS,Tasmanogobius,Tasmanogobius sp.,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Tasmanogobius,NA,NA,"Tasmanogobius Scott, 1935",Tasmanogobius,ACCEPTED,96,EXACT,2019-11-01T16:14:35Z
W15063,6962,FAMILY,Tubificidae,TUBIFICIDAE sp.,Animalia,Annelida,Clitellata,NA,Tubificidae,NA,NA,NA,Tubificidae,Tubificidae,ACCEPTED,96,EXACT,2019-11-01T16:15:17Z
W15071,225,CLASS,Gastropoda,GASTROPODA sp.,Animalia,Mollusca,Gastropoda,NA,NA,NA,NA,NA,Gastropoda,Gastropoda,ACCEPTED,96,EXACT,2019-11-01T16:03:20Z
W15099,1,KINGDOM,Animalia,Spiders sp.,Animalia,NA,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-11-01T16:13:41Z
W15127,7634,FAMILY,Tipulidae,TIPULIDAE sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,NA,NA,NA,Tipulidae,Tipulidae,ACCEPTED,96,EXACT,2019-11-01T16:14:57Z
W15135,7985,FAMILY,Eusiridae,EUSIRIDAE sp.,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,NA,NA,NA,Eusiridae,Eusiridae,ACCEPTED,96,EXACT,2019-11-01T16:02:49Z
W15143,7967,FAMILY,Hydroptilidae,HYDROPTILIDAE sp.,Animalia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,NA,NA,NA,Hydroptilidae,Hydroptilidae,ACCEPTED,96,EXACT,2019-11-01T16:04:30Z
W15151,1225,ORDER,Ephemeroptera,EPHEMEROPTERA sp.,Animalia,Arthropoda,Insecta,Ephemeroptera,NA,NA,NA,NA,Ephemeroptera,Ephemeroptera,ACCEPTED,96,EXACT,2019-11-01T16:02:23Z
W15179,2020474,GENUS,Hydrometra,Hydrometra sp.,Animalia,Arthropoda,Insecta,Hemiptera,Hydrometridae,Hydrometra,NA,NA,"Hydrometra Latreille, 1796",Hydrometra,ACCEPTED,96,EXACT,2019-11-01T16:04:27Z
W15187,1,KINGDOM,Animalia,TRICHOPTERA sp.,Animalia,NA,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-11-01T16:15:05Z
W21007,7172,FAMILY,Atherinidae,ATHERINIDAE spp.,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,NA,NA,NA,Atherinidae,Atherinidae,ACCEPTED,96,EXACT,2019-11-01T15:57:01Z
W21059,8749484,SUBSPECIES,Amytornis modestus,Amytornis modestus indulkanna,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis,Amytornis modestus,NA,Amytornis modestus indulkanna,Amytornis modestus indulkanna,ACCEPTED,100,EXACT,2019-11-01T15:55:41Z
W21067,6091019,SUBSPECIES,Microeca fascinans,Microeca fascinans pallida,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Microeca,Microeca fascinans,NA,"Microeca fascinans pallida De Vis, 1885",Microeca fascinans pallida,ACCEPTED,100,EXACT,2019-11-01T16:07:21Z
