id,key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common,scientificName,canonicalName,Status,Confidence,Match,Stamp
K02089,2446291,SPECIES,Gehyra purpurascens,Gehyra purpurascens,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra purpurascens,Purplish Dtella,"Gehyra purpurascens Storr, 1982",Gehyra purpurascens,ACCEPTED,100,EXACT,2019-12-02T14:36:24Z
K02109,4819663,SPECIES,Lucasium damaeum,Lucasium damaeum,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Lucasium,Lucasium damaeum,Beaded Gecko,"Lucasium damaeum (Lucas & Frost, 1896)",Lucasium damaeum,ACCEPTED,100,EXACT,2019-12-02T14:41:09Z
K02177,2465633,SPECIES,Pogona barbata,Pogona barbata,Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,Pogona barbata,Eastern Bearded Dragon,"Pogona barbata (Cuvier, 1829)",Pogona barbata,ACCEPTED,100,EXACT,2019-12-02T14:49:21Z
K02185,5226038,SPECIES,Ctenophorus fordi,Ctenophorus fordi,Animalia,Chordata,Reptilia,Squamata,Agamidae,Ctenophorus,Ctenophorus fordi,Mallee Dragon,"Ctenophorus fordi (Storr, 1965)",Ctenophorus fordi,ACCEPTED,100,EXACT,2019-12-02T14:31:43Z
K02257,2465860,SPECIES,Tympanocryptis tetraporophora,Tympanocryptis tetraporophora,Animalia,Chordata,Reptilia,Squamata,Agamidae,Tympanocryptis,Tympanocryptis tetraporophora,Long-tailed Earless Dragon,"Tympanocryptis tetraporophora Lucas & Frost, 1895",Tympanocryptis tetraporophora,ACCEPTED,100,EXACT,2019-12-02T14:56:19Z
K02389,2462378,SPECIES,Ctenotus uber,Ctenotus uber  (NC),Animalia,Chordata,Reptilia,Squamata,Scincidae,Ctenotus,Ctenotus uber,Spotted Ctenotus,"Ctenotus uber Storr, 1969",Ctenotus uber,ACCEPTED,100,EXACT,2019-12-02T14:32:25Z
K02441,2463656,SPECIES,Hemiergis decresiensis,Hemiergis decresiensis,Animalia,Chordata,Reptilia,Squamata,Scincidae,Hemiergis,Hemiergis decresiensis,Three-toed Earless Skink,"Hemiergis decresiensis (Cuvier, 1829)",Hemiergis decresiensis,ACCEPTED,100,EXACT,2019-12-02T14:37:36Z
K02557,2462660,SPECIES,Eulamprus quoyii,Eulamprus quoyii,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eulamprus,Eulamprus quoyii,Eastern Water-skink,"Eulamprus quoyii (Duméril & Bibron, 1824)",Eulamprus quoyii,ACCEPTED,100,EXACT,2019-12-02T14:35:17Z
K02573,2463189,SPECIES,Cyclodomorphus melanops,Cyclodomorphus melanops,Animalia,Chordata,Reptilia,Squamata,Scincidae,Cyclodomorphus,Cyclodomorphus melanops,Samphire Slender Bluetongue,"Cyclodomorphus melanops (Stirling & Zietz, 1893)",Cyclodomorphus melanops,ACCEPTED,100,EXACT,2019-12-02T14:32:32Z
K02689,2449963,SPECIES,Oxyuranus microlepidotus,Oxyuranus microlepidotus,Animalia,Chordata,Reptilia,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,Fierce Snake,"Oxyuranus microlepidotus (Mccoy, 1879)",Oxyuranus microlepidotus,ACCEPTED,100,EXACT,2019-12-02T14:46:27Z
